"Response","Model","AIC","BIC","REML","ML"
"Biodiversity","null",11913.594468877,11916.8309108398,NA,NA
"Biodiversity","minimal",14067.0773257526,14073.5502096783,NA,NA
"Biodiversity","fixed",14128.3833586114,14156.3912487067,NA,NA
"Biodiversity","simplified",14130.3838046448,14161.5036825284,NA,NA
"Biodiversity","full",14134.3721082721,14171.7159617323,NA,NA
"Greenhouse gas emission","null",3171.45012868725,3174.01447687872,NA,NA
"Greenhouse gas emission","minimal",5439.01058646587,5444.1392828488,NA,NA
"Product quality","null",7642.32635683898,7644.99918567344,NA,NA
"Product quality","minimal",15392.4407895968,15397.7864472657,NA,NA
"Product quality","fixed",8697.87782730558,8721.23390595679,NA,NA
"Product quality","simplified",7505.20230589562,7531.15350439697,NA,NA
"Product quality","full",7500.50018427876,7531.64162248038,NA,NA
"Crop yield","null",6249.43646774109,6253.07125734426,NA,NA
"Crop yield","minimal",9484.34519544721,9491.61477465355,NA,NA
"Crop yield","fixed",11127.8422872336,11163.8634754424,NA,NA
"Crop yield","simplified",8550.3968574434,8590.02016447308,NA,NA
"Crop yield","full",8538.76296629526,8585.5905109667,NA,NA
"Pest and Disease","null",36677.0693721933,36679.1637167556,NA,NA
"Pest and Disease","minimal",56472.3983019614,56476.5869910858,NA,NA
"Pest and Disease","fixed",56438.6041955028,56450.6481946142,NA,NA
"Pest and Disease","simplified",56440.6048321277,56454.6561644243,NA,NA
"Pest and Disease","full",56444.6048739237,56462.6708725907,NA,NA
"Soil quality","null",32917.2444037476,32920.7698566867,NA,NA
"Soil quality","minimal",1024.48197449617,1031.53288037443,NA,NA
"Soil quality","fixed",3294.24701411919,3325.68456710926,NA,NA
"Soil quality","simplified",892.384944069459,927.315558502864,NA,NA
"Soil quality","full",896.385064268716,938.301801588802,NA,NA
"Water quality","null",475.789702262842,478.70968318867,NA,NA
"Water quality","minimal",1054.99034692851,1060.83030878016,NA,NA
