"Study","Beta","SE","pval"
1,-0.00622618248432407,0.0070899499746831,0.37985138447341
2,-0.00414947537826841,0.00750625404559646,0.580398713346972
3,-0.00414086208435388,0.00750303301226568,0.581022515127885
4,-0.00451673561889244,0.00752029837142492,0.548102503155032
5,-0.007244740840165,0.00763536885474583,0.342702163866473
6,-0.00243389847649022,0.00691038153223548,0.724681537895457
7,-0.00464776291028536,0.00752110924659322,0.536600107585563
8,-0.00466808016653117,0.00752227080726021,0.534883933394856
9,-0.00463829184808122,0.00752083139704945,0.537415505335616
10,-0.00222537620253981,0.00865266481071691,0.797032340589892
11,-0.00473691991849039,0.00752358822001673,0.52895034127092
12,-0.00326799241641432,0.00734467241069823,0.656357813857439
13,-0.00422858595998058,0.00751207892252038,0.573499650177643
14,-0.00435494350340468,0.00751918766178967,0.562469483616092
15,-0.00574097039156806,0.00730266150967488,0.431780974615761
16,-0.00403065600519152,0.00749164196035679,0.590562983256849
17,-0.006086406436503,0.00748713588648935,0.416266689061876
18,-0.00504914765467119,0.00749846432511101,0.500719840605411
19,-0.00466908454813577,0.00752192157145402,0.534777097201496
20,-0.00332447914414515,0.0073513428575089,0.651105124272929
21,-0.00470738069921268,0.00752074979152701,0.531368026988462
22,-0.00489879580817269,0.00749513351511543,0.513371561093265
23,-0.00466270298878889,0.0075223371478173,0.535358095322567
24,-0.0055256534534789,0.00742737200697529,0.456901833365516
25,-0.00456244604227758,0.00751993686201834,0.544041164818444
26,-0.00269421146947194,0.00724785028205369,0.710097165246512
27,-0.00731546428963794,0.00669445344121967,0.274497000648983
28,-0.0052420502323954,0.00747301824696248,0.483013747292321
29,-0.00198453826476054,0.00682709072548972,0.771291640048006
30,-0.00379364030465069,0.00746052934193571,0.61110639159287
31,-0.00446948814852365,0.00751833326234071,0.552192058756602
32,-0.00798894137329451,0.00674325236379636,0.236123747784708
33,-0.00326889605050163,0.00748848622463388,0.662457356385328
34,-0.00490521754873549,0.00771283474908534,0.524788705286492
35,-0.00554732833235555,0.00755893063090768,0.463023464266657
36,-0.00252061015360884,0.007575515985666,0.739337232952517
37,-0.00413471539269451,0.0075034423602146,0.581604563020563
