Moderator,Estimate,Std_Error,CI_Lower,CI_Upper,P_Value
tree_crop_combinationBiomass-Cereal,-0.009834796484835612,0.0061806618956962295,-0.021948671201019277,0.002279078231348052,0.11155994005504481
tree_crop_combinationBiomass-Legume,0.06748398921403433,0.012597795803124968,0.042792763155319546,0.0921752152727491,8.470445764851743e-8
tree_crop_combinationBiomass-Oilseed,-0.02482304514643622,0.05063379457520743,-0.12406345891444234,0.07441736862156989,0.6239594159530986
tree_crop_combinationFruit-Legume,-0.08130372467906484,0.016089546242667285,-0.11283865584228447,-0.04976879351584521,4.3446433292216406e-7
tree_crop_combinationMixed-Cereal,0.013206143724146403,0.011801560638008107,-0.009924490087715027,0.036336777536007836,0.26313300434849624
tree_crop_combinationMixed-Legume,0.06631684627359452,0.011731073542270628,0.04332436463075338,0.08930932791643567,1.5758625413267754e-8
tree_crop_combinationTimber-Cereal,-0.015298918308184563,0.011104568436927389,-0.037063472508422485,0.006465635892053359,0.16829163751904766
tree_crop_combinationTimber-Legume,-0.017314649543178743,0.02802449351778633,-0.07224164752301615,0.03761234843665866,0.5366808962713312
seasonWinter,-0.007821796634989324,0.008846469078525739,-0.02516055741924701,0.00951696414926836,0.37660359189064047
seasonSummer,0.02268133619803272,0.004456412096336126,0.013946928988945272,0.03141574340712017,3.588275835522013e-7
seasonWinter and Summer,0.015518967893082578,0.02765868067662364,-0.03869105009299369,0.06972898587915884,0.5747372014813623
alley_width_categoryNarrow,0.012378831369548928,0.006401205345354192,-1.6730056499056692e-4,0.024924963304088422,0.053134255133512845
alley_width_categoryModerate,0.059102588841940404,0.007479837956552596,0.044442375836901644,0.07376280184697917,2.7537498945557307e-15
alley_width_categoryWide,-0.004923545340245261,0.007534497085802896,-0.01969088827004093,0.009843797589550406,0.51345524587279745
tree_row_orientationNS,0.0038986547031777574,0.00666840916663002,-0.009171187097593837,0.01696849650394935,0.5587861782364832
tree_row_orientationEW,-0.014307492328614852,0.013426153144261445,-0.04062226894228649,0.01200728428505678,0.2865848440735319
soil_textureClay,0.0026710369329290794,0.002662597022400905,-0.0025475573363202813,0.00788963120217844,0.31577893958653913
soil_textureClay loam,0.0010519903865557222,2.9124455470096015e-4,4.8116154864843465e-4,0.0016228192244630095,3.037839902426638e-4
soil_textureSilty clay,0.19794467507691008,0.005223299827377905,0.1877071955347951,0.20818215461902506,0
tree_density_categoryLow density,0.02387632756388716,0.004578950134336934,0.014901750213581927,0.03285090491419239,1.8444574505260616e-7
tree_density_categoryMedium density,-0.005744606723561475,0.010732419201909963,-0.026779761826291108,0.01529054837916816,0.5924718843060826
tree_density_categoryHigh density,-0.12010717705138936,0.04805477746790132,-0.21429281017356283,-0.02592154392921589,0.012441062617679674
tree_height_categoryShort,0.06203664626327633,0.010919262688261808,0.04063528465655118,0.08343800787000148,1.3360039444749063e-8
tree_height_categoryMedium,0.0037978182309392084,0.009228849181601073,-0.014290393783750846,0.02188603024562926,0.6806942805315969
tree_height_categoryTall,0.020403934723394097,0.01098659363299131,-0.001129393110045937,0.04193726255683413,0.06328745551777079
age_systemYoung,0.015452682320410364,0.0050713521221178,0.005513014808138704,0.025392349832682022,0.002310964093664273
age_systemMature,0.01837892458702257,0.006635298720527334,0.005373978068124296,0.03138387110592085,0.005607841800166374
tillageYes,0.0193697023087954,0.004454051380674495,0.01063992201738249,0.028099482600208312,1.3689516949945985e-5
tillageNo,-0.012402917467515588,0.019156678782433545,-0.049949317944487946,0.02514348300945677,0.517343251137609
organicYes,0.04904218397765941,0.028336558450629903,-0.006496450031389309,0.10458081798670812,0.08350464123765179
organicNo,0.015834655412557474,0.004001829787776144,0.007991213156256664,0.023678097668858283,7.594337666842714e-5
