Approach,Ecosystem_Service,n,Type
Biophysical,Cultural ES,4,Approach
Biophysical,Provisioning ES,117,Approach
Biophysical,Regulating ES,121,Approach
Biophysical,Supporting ES,129,Approach
Mixed approach,Cultural ES,6,Approach
Mixed approach,Provisioning ES,32,Approach
Mixed approach,Regulating ES,7,Approach
Mixed approach,Supporting ES,11,Approach
Monetary,Cultural ES,0,Approach
Monetary,Provisioning ES,1,Approach
Monetary,Regulating ES,0,Approach
Monetary,Supporting ES,0,Approach
Socio-cultural,Cultural ES,9,Approach
Socio-cultural,Provisioning ES,0,Approach
Socio-cultural,Regulating ES,0,Approach
Socio-cultural,Supporting ES,0,Approach
