Temp,Prec
94,859
94,859
65,905
101,993
65,940
45,1019
80,536
85,572
92,563
85,651
88,622
80,536
89,718
87,591
88,571
89,814
89,583
124,786
124,786
124,786
124,786
120,982
120,982
120,982
120,982
43,1034
92,752
93,855
98,595
107,637
97,838
124,826
132,744
136,753
109,766
82,601
109,766
109,766
154,432
109,766
82,601
109,766
107,532
99,599
65,905
123,1113
132,744
99,599
147,577
147,380
137,440
129,434
103,471
118,383
121,395
145,396
114,517
117,798
110,724
111,718
108,727
102,847
103,783
93,781
93,769
90,772
93,787
93,651
87,591
85,592
88,837
80,820
80,820
113,1058
113,1058
113,1058
113,1058
93,651
65,940
65,905
101,709
100,810
111,932
117,1005
111,932
117,1005
111,932
117,1005
65,905
65,905
65,905
154,432
109,766
91,794
147,577
147,380
137,440
129,434
103,471
118,383
121,395
145,396
114,517
117,798
110,724
111,718
108,727
102,847
103,783
93,781
93,769
90,772
93,787
147,380
102,847
93,787
99,800
103,792
103,792
98,843
100,765
96,836
101,679
102,776
101,787
101,787
101,679
102,790
103,757
103,757
98,843
98,843
103,757
103,792
103,792
98,843
100,765
96,836
111,628
101,679
102,776
101,787
101,787
101,679
103,757
103,757
103,757
102,790
98,843
98,843
96,637
65,905
93,651
65,905
111,1108
111,1108
73,255
53,1317
98,886
89,1082
87,1102
136,745
80,820
82,601
116,969
102,768
100,687
103,770
-36,247
69,861
74,757
86,754
89,814
84,650
124,758
124,738
80,708
97,553
98,707
96,584
94,1009
98,638
85,600
97,609
83,580
88,1123
93,1026
95,649
98,615
97,553
98,627
69,929
72,939
86,754
84,650
86,788
84,650
58,483
-64,334
61,1317
109,766
88,981
154,432
82,533
96,831
109,549
36,1587
76,538
93,559
82,601
84,650
98,595
79,1054
